PARAMETER,VALUE,PHASE,CONDITION
ENGINE_TYPE,CFM56-7B,,
NUMBER_OF_ENGINES,2,,
REFERENCE_MASS,65000,,
MAX_TAKEOFF_MASS,79000,,
MAX_LANDING_MASS,66000,,
MAX_ZERO_FUEL_MASS,62000,,
OPERATING_EMPTY_MASS,41000,,
WING_AREA,124.6,,
WING_SPAN,35.8,,
WING_ASPECT_RATIO,9.44,,
MAX_OPERATING_MACH,0.82,,
MAX_OPERATING_SPEED,470,,
CRUISE_MACH,0.78,,
CRUISE_SPEED,450,,
SERVICE_CEILING,12500,,
MAX_ALTITUDE,13000,,
STALL_SPEED_LANDING,70,,
STALL_SPEED_TAKEOFF,80,,
CD0,0.020,,
CD2,0.05,,
CD4,0.0,,
K,0.045,,
MACH_DRAG_INDEX,0.1,,
MAX_TAKEOFF_THRUST,120000,,
MAX_CLIMB_THRUST,100000,,
MAX_CRUISE_THRUST,50000,,
THRUST_ALTITUDE_FACTOR,0.00012,,
THRUST_MACH_FACTOR,0.05,,
THRUST_TEMPERATURE_FACTOR,0.002,,
CF1,0.65,,
CF2,0.08,,
CR1,0.7,,
CR2,0.06,,
CD1,0.5,,
CD2,0.05,,
IDLE_FUEL_FLOW,0.1,,
FUEL_DENSITY,804,,
INITIAL_CLIMB_RATE,15.0,CLIMB,
CLIMB_SPEED,140.0,CLIMB,
CLIMB_MACH,0.78,CLIMB,
TRANSITION_ALTITUDE,10000,CLIMB,
CLIMB_RATE,15.0,CLIMB,ALTITUDE=0
CLIMB_RATE,12.0,CLIMB,ALTITUDE=3000
CLIMB_RATE,10.0,CLIMB,ALTITUDE=6000
CLIMB_RATE,8.0,CLIMB,ALTITUDE=9000
CLIMB_RATE,5.0,CLIMB,ALTITUDE=11000
OPTIMUM_CRUISE_ALTITUDE,11000,CRUISE,
MAXIMUM_CRUISE_ALTITUDE,12500,CRUISE,
FUEL_FLOW_AT_CRUISE,2.5,CRUISE,
FUEL_FLOW,3.0,CRUISE,ALTITUDE=9000
FUEL_FLOW,2.5,CRUISE,ALTITUDE=11000
FUEL_FLOW,2.2,CRUISE,ALTITUDE=12000
DESCENT_RATE,12.0,DESCENT,
DESCENT_SPEED,140.0,DESCENT,
DESCENT_MACH,0.78,DESCENT,
IDLE_DESCENT_RATE,8.0,DESCENT,
DESCENT_RATE_AT,8.0,DESCENT,ALTITUDE=11000
DESCENT_RATE_AT,10.0,DESCENT,ALTITUDE=9000
DESCENT_RATE_AT,12.0,DESCENT,ALTITUDE=6000
DESCENT_RATE_AT,10.0,DESCENT,ALTITUDE=3000
